"",,,Total Workers !! Estimate,Total Workers !! Margin of Error
geoid,destination_name,origin_name,b302100_e1,b302100_m1
C4300US3403936111,"Ulster County, New York","Union County, New Jersey",55,+/-52
C4300US3403936119,"Westchester County, New York","Union County, New Jersey",655,+/-357
C4300US3404134001,"Atlantic County, New Jersey","Warren County, New Jersey",15,+/-28
C4300US3404134003,"Bergen County, New Jersey","Warren County, New Jersey",390,+/-145
C4300US3404134007,"Camden County, New Jersey","Warren County, New Jersey",25,+/-27
C4300US3404134009,"Cape May County, New Jersey","Warren County, New Jersey",10,+/-17
C4300US3404134013,"Essex County, New Jersey","Warren County, New Jersey","1,400",+/-269
C4300US3404134017,"Hudson County, New Jersey","Warren County, New Jersey",570,+/-169
C4300US3404134019,"Hunterdon County, New Jersey","Warren County, New Jersey","5,485",+/-577
C4300US3404134021,"Mercer County, New Jersey","Warren County, New Jersey",490,+/-150
C4300US3404134023,"Middlesex County, New Jersey","Warren County, New Jersey","1,250",+/-236
C4300US3404134025,"Monmouth County, New Jersey","Warren County, New Jersey",145,+/-90
C4300US3404134027,"Morris County, New Jersey","Warren County, New Jersey","8,625",+/-687
C4300US3404134029,"Ocean County, New Jersey","Warren County, New Jersey",80,+/-59
C4300US3404134031,"Passaic County, New Jersey","Warren County, New Jersey",375,+/-120
C4300US3404134035,"Somerset County, New Jersey","Warren County, New Jersey","3,490",+/-468
C4300US3404134037,"Sussex County, New Jersey","Warren County, New Jersey","2,120",+/-353
C4300US3404134039,"Union County, New Jersey","Warren County, New Jersey",785,+/-199
C4300US3404134041,"Warren County, New Jersey","Warren County, New Jersey","23,445","+/-1,064"
C4300US3404136011,"Cayuga County, New York","Warren County, New Jersey",15,+/-22
C4300US3404136047,"Kings County, New York","Warren County, New Jersey",65,+/-74
C4300US3404136061,"New York County, New York","Warren County, New Jersey",610,+/-171
C4300US3404136067,"Onondaga County, New York","Warren County, New Jersey",10,+/-21
C4300US3404136071,"Orange County, New York","Warren County, New Jersey",125,+/-114
C4300US3404136081,"Queens County, New York","Warren County, New Jersey",85,+/-63
C4300US3404136085,"Richmond County, New York","Warren County, New Jersey",25,+/-32
C4300US3404136087,"Rockland County, New York","Warren County, New Jersey",20,+/-33
C4300US3404136091,"Saratoga County, New York","Warren County, New Jersey",4,+/-31
C4300US3404136119,"Westchester County, New York","Warren County, New Jersey",20,+/-20
C4300US3600134013,"Essex County, New Jersey","Albany County, New York",4,+/-30
C4300US3600134021,"Mercer County, New Jersey","Albany County, New York",20,+/-26
C4300US3600136001,"Albany County, New York","Albany County, New York","126,830","+/-2,353"
C4300US3600136003,"Allegany County, New York","Albany County, New York",10,+/-12
C4300US3600136005,"Bronx County, New York","Albany County, New York",35,+/-50
C4300US3600136009,"Cattaraugus County, New York","Albany County, New York",80,+/-109
C4300US3600136021,"Columbia County, New York","Albany County, New York",755,+/-180
C4300US3600136025,"Delaware County, New York","Albany County, New York",10,+/-14
C4300US3600136027,"Dutchess County, New York","Albany County, New York",120,+/-60
C4300US3600136031,"Essex County, New York","Albany County, New York",95,+/-66
C4300US3600136033,"Franklin County, New York","Albany County, New York",15,+/-23
C4300US3600136035,"Fulton County, New York","Albany County, New York",65,+/-53
C4300US3600136039,"Greene County, New York","Albany County, New York","1,840",+/-370
C4300US3600136043,"Herkimer County, New York","Albany County, New York",45,+/-46
C4300US3600136047,"Kings County, New York","Albany County, New York",30,+/-29
C4300US3600136051,"Livingston County, New York","Albany County, New York",4,+/-15
C4300US3600136057,"Montgomery County, New York","Albany County, New York",360,+/-147
C4300US3600136059,"Nassau County, New York","Albany County, New York",110,+/-68
C4300US3600136061,"New York County, New York","Albany County, New York",240,+/-97
C4300US3600136065,"Oneida County, New York","Albany County, New York",85,+/-76
C4300US3600136067,"Onondaga County, New York","Albany County, New York",30,+/-40
C4300US3600136071,"Orange County, New York","Albany County, New York",105,+/-58
C4300US3600136075,"Oswego County, New York","Albany County, New York",90,+/-95
C4300US3600136077,"Otsego County, New York","Albany County, New York",60,+/-51
C4300US3600136079,"Putnam County, New York","Albany County, New York",10,+/-16
C4300US3600136081,"Queens County, New York","Albany County, New York",15,+/-23
C4300US3600136083,"Rensselaer County, New York","Albany County, New York","12,565","+/-1,045"
C4300US3600136085,"Richmond County, New York","Albany County, New York",10,+/-17
C4300US3600136087,"Rockland County, New York","Albany County, New York",25,+/-26
C4300US3600136091,"Saratoga County, New York","Albany County, New York","5,210",+/-604
C4300US3600136093,"Schenectady County, New York","Albany County, New York","8,055",+/-636
C4300US3600136095,"Schoharie County, New York","Albany County, New York",605,+/-273
C4300US3600136099,"Seneca County, New York","Albany County, New York",25,+/-28
C4300US3600136103,"Suffolk County, New York","Albany County, New York",10,+/-15
C4300US3600136111,"Ulster County, New York","Albany County, New York",230,+/-100
C4300US3600136113,"Warren County, New York","Albany County, New York",330,+/-141
C4300US3600136115,"Washington County, New York","Albany County, New York",30,+/-42
C4300US3600136119,"Westchester County, New York","Albany County, New York",55,+/-42
C4300US3600334003,"Bergen County, New Jersey","Allegany County, New York",4,+/-27
C4300US3600336003,"Allegany County, New York","Allegany County, New York","12,865",+/-405
C4300US3600336007,"Broome County, New York","Allegany County, New York",85,+/-58
C4300US3600336009,"Cattaraugus County, New York","Allegany County, New York","2,070",+/-232
C4300US3600336011,"Cayuga County, New York","Allegany County, New York",4,+/-7
C4300US3600336013,"Chautauqua County, New York","Allegany County, New York",35,+/-20
C4300US3600336015,"Chemung County, New York","Allegany County, New York",10,+/-10
C4300US3600336027,"Dutchess County, New York","Allegany County, New York",4,+/-27
C4300US3600336029,"Erie County, New York","Allegany County, New York",295,+/-103
C4300US3600336037,"Genesee County, New York","Allegany County, New York",35,+/-30
C4300US3600336049,"Lewis County, New York","Allegany County, New York",4,+/-13
C4300US3600336051,"Livingston County, New York","Allegany County, New York",430,+/-75
C4300US3600336055,"Monroe County, New York","Allegany County, New York",215,+/-62
C4300US3600336059,"Nassau County, New York","Allegany County, New York",4,+/-4
C4300US3600336061,"New York County, New York","Allegany County, New York",4,+/-4
C4300US3600336063,"Niagara County, New York","Allegany County, New York",20,+/-21
C4300US3600336065,"Oneida County, New York","Allegany County, New York",25,+/-21
C4300US3600336067,"Onondaga County, New York","Allegany County, New York",15,+/-18
C4300US3600336069,"Ontario County, New York","Allegany County, New York",55,+/-26
C4300US3600336077,"Otsego County, New York","Allegany County, New York",20,+/-19
C4300US3600336099,"Seneca County, New York","Allegany County, New York",4,+/-9
C4300US3600336101,"Steuben County, New York","Allegany County, New York","1,280",+/-163
C4300US3600336103,"Suffolk County, New York","Allegany County, New York",4,+/-3
C4300US3600336109,"Tompkins County, New York","Allegany County, New York",4,+/-5
C4300US3600336111,"Ulster County, New York","Allegany County, New York",15,+/-20
C4300US3600336113,"Warren County, New York","Allegany County, New York",4,+/-12
C4300US3600336119,"Westchester County, New York","Allegany County, New York",4,+/-5
C4300US3600336121,"Wyoming County, New York","Allegany County, New York",605,+/-103
C4300US3600336123,"Yates County, New York","Allegany County, New York",4,+/-27
C4300US3600534001,"Atlantic County, New Jersey","Bronx County, New York",4,+/-10
C4300US3600534003,"Bergen County, New Jersey","Bronx County, New York","2,925",+/-472
C4300US3600534005,"Burlington County, New Jersey","Bronx County, New York",25,+/-36
C4300US3600534013,"Essex County, New Jersey","Bronx County, New York","1,145",+/-310
C4300US3600534017,"Hudson County, New Jersey","Bronx County, New York","2,275",+/-417
C4300US3600534023,"Middlesex County, New Jersey","Bronx County, New York",225,+/-113
C4300US3600534025,"Monmouth County, New Jersey","Bronx County, New York",300,+/-200
C4300US3600534027,"Morris County, New Jersey","Bronx County, New York",250,+/-124
C4300US3600534029,"Ocean County, New Jersey","Bronx County, New York",15,+/-30
C4300US3600534031,"Passaic County, New Jersey","Bronx County, New York",530,+/-182
C4300US3600534035,"Somerset County, New Jersey","Bronx County, New York",15,+/-16
C4300US3600534039,"Union County, New Jersey","Bronx County, New York",745,+/-205
C4300US3600536001,"Albany County, New York","Bronx County, New York",220,+/-152
C4300US3600536005,"Bronx County, New York","Bronx County, New York","265,075","+/-4,198"
C4300US3600536017,"Chenango County, New York","Bronx County, New York",90,+/-111
C4300US3600536021,"Columbia County, New York","Bronx County, New York",25,+/-48
C4300US3600536027,"Dutchess County, New York","Bronx County, New York",60,+/-54
C4300US3600536029,"Erie County, New York","Bronx County, New York",45,+/-68
C4300US3600536047,"Kings County, New York","Bronx County, New York","23,720","+/-1,716"
C4300US3600536059,"Nassau County, New York","Bronx County, New York","2,855",+/-508
C4300US3600536061,"New York County, New York","Bronx County, New York","207,515","+/-4,174"
C4300US3600536067,"Onondaga County, New York","Bronx County, New York",50,+/-52
C4300US3600536069,"Ontario County, New York","Bronx County, New York",10,+/-19
C4300US3600536071,"Orange County, New York","Bronx County, New York",350,+/-162
C4300US3600536079,"Putnam County, New York","Bronx County, New York",145,+/-85
C4300US3600536081,"Queens County, New York","Bronx County, New York","25,005","+/-1,364"
C4300US3600536085,"Richmond County, New York","Bronx County, New York",590,+/-204
C4300US3600536087,"Rockland County, New York","Bronx County, New York","1,415",+/-368
C4300US3600536095,"Schoharie County, New York","Bronx County, New York",30,+/-37
C4300US3600536103,"Suffolk County, New York","Bronx County, New York","1,040",+/-413
C4300US3600536111,"Ulster County, New York","Bronx County, New York",15,+/-20
C4300US3600536119,"Westchester County, New York","Bronx County, New York","37,755","+/-1,996"
C4300US3600734013,"Essex County, New Jersey","Broome County, New York",30,+/-30
C4300US3600734023,"Middlesex County, New Jersey","Broome County, New York",4,+/-10
C4300US3600734029,"Ocean County, New Jersey","Broome County, New York",35,+/-28
C4300US3600734039,"Union County, New Jersey","Broome County, New York",20,+/-37
C4300US3600736001,"Albany County, New York","Broome County, New York",65,+/-51
C4300US3600736005,"Bronx County, New York","Broome County, New York",20,+/-33
C4300US3600736007,"Broome County, New York","Broome County, New York","75,125","+/-1,576"
C4300US3600736011,"Cayuga County, New York","Broome County, New York",135,+/-86
C4300US3600736013,"Chautauqua County, New York","Broome County, New York",30,+/-40
C4300US3600736015,"Chemung County, New York","Broome County, New York",270,+/-114
C4300US3600736017,"Chenango County, New York","Broome County, New York","1,630",+/-293
C4300US3600736019,"Clinton County, New York","Broome County, New York",35,+/-54
C4300US3600736023,"Cortland County, New York","Broome County, New York",510,+/-121
C4300US3600736025,"Delaware County, New York","Broome County, New York",855,+/-168
C4300US3600736027,"Dutchess County, New York","Broome County, New York",10,+/-13
C4300US3600736029,"Erie County, New York","Broome County, New York",10,+/-14
C4300US3600736035,"Fulton County, New York","Broome County, New York",30,+/-47
C4300US3600736055,"Monroe County, New York","Broome County, New York",110,+/-131
C4300US3600736059,"Nassau County, New York","Broome County, New York",15,+/-24
C4300US3600736061,"New York County, New York","Broome County, New York",90,+/-61
C4300US3600736065,"Oneida County, New York","Broome County, New York",70,+/-60
C4300US3600736067,"Onondaga County, New York","Broome County, New York",285,+/-106
C4300US3600736069,"Ontario County, New York","Broome County, New York",10,+/-12
C4300US3600736071,"Orange County, New York","Broome County, New York",4,+/-30
C4300US3600736077,"Otsego County, New York","Broome County, New York",90,+/-56
C4300US3600736081,"Queens County, New York","Broome County, New York",35,+/-38
C4300US3600736087,"Rockland County, New York","Broome County, New York",4,+/-13
C4300US3600736089,"St. Lawrence County, New York","Broome County, New York",10,+/-15
C4300US3600736091,"Saratoga County, New York","Broome County, New York",10,+/-13
C4300US3600736093,"Schenectady County, New York","Broome County, New York",10,+/-15
C4300US3600736095,"Schoharie County, New York","Broome County, New York",15,+/-19
C4300US3600736101,"Steuben County, New York","Broome County, New York",95,+/-81
C4300US3600736103,"Suffolk County, New York","Broome County, New York",30,+/-40
C4300US3600736105,"Sullivan County, New York","Broome County, New York",4,+/-6
C4300US3600736107,"Tioga County, New York","Broome County, New York","2,400",+/-393
C4300US3600736109,"Tompkins County, New York","Broome County, New York",620,+/-184
C4300US3600736111,"Ulster County, New York","Broome County, New York",4,+/-11
C4300US3600736117,"Wayne County, New York","Broome County, New York",20,+/-34
C4300US3600736119,"Westchester County, New York","Broome County, New York",20,+/-37
C4300US3600934003,"Bergen County, New Jersey","Cattaraugus County, New York",4,+/-8
C4300US3600936003,"Allegany County, New York","Cattaraugus County, New York",575,+/-121
C4300US3600936009,"Cattaraugus County, New York","Cattaraugus County, New York","22,550",+/-721
C4300US3600936013,"Chautauqua County, New York","Cattaraugus County, New York","1,870",+/-226
C4300US3600936015,"Chemung County, New York","Cattaraugus County, New York",10,+/-14
C4300US3600936021,"Columbia County, New York","Cattaraugus County, New York",4,+/-13
C4300US3600936029,"Erie County, New York","Cattaraugus County, New York","4,550",+/-324
C4300US3600936033,"Franklin County, New York","Cattaraugus County, New York",4,+/-30
C4300US3600936037,"Genesee County, New York","Cattaraugus County, New York",25,+/-23
C4300US3600936045,"Jefferson County, New York","Cattaraugus County, New York",10,+/-16
C4300US3600936051,"Livingston County, New York","Cattaraugus County, New York",70,+/-78
C4300US3600936055,"Monroe County, New York","Cattaraugus County, New York",60,+/-41
C4300US3600936061,"New York County, New York","Cattaraugus County, New York",4,+/-8
C4300US3600936063,"Niagara County, New York","Cattaraugus County, New York",85,+/-54
C4300US3600936067,"Onondaga County, New York","Cattaraugus County, New York",4,+/-16
C4300US3600936093,"Schenectady County, New York","Cattaraugus County, New York",4,+/-1
C4300US3600936101,"Steuben County, New York","Cattaraugus County, New York",75,+/-53
C4300US3600936121,"Wyoming County, New York","Cattaraugus County, New York","1,340",+/-177
C4300US3601134021,"Mercer County, New Jersey","Cayuga County, New York",4,+/-2
C4300US3601136001,"Albany County, New York","Cayuga County, New York",25,+/-23
C4300US3601136003,"Allegany County, New York","Cayuga County, New York",4,+/-30
C4300US3601136007,"Broome County, New York","Cayuga County, New York",25,+/-25
C4300US3601136011,"Cayuga County, New York","Cayuga County, New York","21,420",+/-761
C4300US3601136015,"Chemung County, New York","Cayuga County, New York",20,+/-21
C4300US3601136023,"Cortland County, New York","Cayuga County, New York",555,+/-90
C4300US3601136027,"Dutchess County, New York","Cayuga County, New York",4,+/-9
C4300US3601136029,"Erie County, New York","Cayuga County, New York",25,+/-25
C4300US3601136037,"Genesee County, New York","Cayuga County, New York",4,+/-3
C4300US3601136045,"Jefferson County, New York","Cayuga County, New York",40,+/-41
C4300US3601136047,"Kings County, New York","Cayuga County, New York",4,+/-12
C4300US3601136053,"Madison County, New York","Cayuga County, New York",95,+/-96
C4300US3601136055,"Monroe County, New York","Cayuga County, New York",165,+/-58
C4300US3601136061,"New York County, New York","Cayuga County, New York",10,+/-12
C4300US3601136063,"Niagara County, New York","Cayuga County, New York",4,+/-30
C4300US3601136065,"Oneida County, New York","Cayuga County, New York",45,+/-32
C4300US3601136067,"Onondaga County, New York","Cayuga County, New York","6,725",+/-532
C4300US3601136069,"Ontario County, New York","Cayuga County, New York",225,+/-75
C4300US3601136075,"Oswego County, New York","Cayuga County, New York",620,+/-117
C4300US3601136077,"Otsego County, New York","Cayuga County, New York",4,+/-10
C4300US3601136083,"Rensselaer County, New York","Cayuga County, New York",15,+/-20
C4300US3601136089,"St. Lawrence County, New York","Cayuga County, New York",4,+/-6
C4300US3601136091,"Saratoga County, New York","Cayuga County, New York",35,+/-37
C4300US3601136099,"Seneca County, New York","Cayuga County, New York",985,+/-217
C4300US3601136109,"Tompkins County, New York","Cayuga County, New York","1,975",+/-223
C4300US3601136113,"Warren County, New York","Cayuga County, New York",4,+/-4
C4300US3601136115,"Washington County, New York","Cayuga County, New York",4,+/-30
C4300US3601136117,"Wayne County, New York","Cayuga County, New York",840,+/-155
C4300US3601336003,"Allegany County, New York","Chautauqua County, New York",60,+/-62
C4300US3601336007,"Broome County, New York","Chautauqua County, New York",4,+/-10
C4300US3601336009,"Cattaraugus County, New York","Chautauqua County, New York",620,+/-123
C4300US3601336013,"Chautauqua County, New York","Chautauqua County, New York","47,450","+/-1,147"
C4300US3601336015,"Chemung County, New York","Chautauqua County, New York",4,+/-10
C4300US3601336027,"Dutchess County, New York","Chautauqua County, New York",4,+/-30
C4300US3601336029,"Erie County, New York","Chautauqua County, New York","2,915",+/-303
C4300US3601336033,"Franklin County, New York","Chautauqua County, New York",10,+/-13
C4300US3601336047,"Kings County, New York","Chautauqua County, New York",4,+/-10
C4300US3601336055,"Monroe County, New York","Chautauqua County, New York",20,+/-29
C4300US3601336061,"New York County, New York","Chautauqua County, New York",30,+/-42
C4300US3601336063,"Niagara County, New York","Chautauqua County, New York",20,+/-23
C4300US3601336067,"Onondaga County, New York","Chautauqua County, New York",15,+/-14
C4300US3601336069,"Ontario County, New York","Chautauqua County, New York",30,+/-27
C4300US3601336081,"Queens County, New York","Chautauqua County, New York",10,+/-14
C4300US3601336095,"Schoharie County, New York","Chautauqua County, New York",15,+/-23
C4300US3601336103,"Suffolk County, New York","Chautauqua County, New York",4,+/-10
C4300US3601336119,"Westchester County, New York","Chautauqua County, New York",10,+/-16
C4300US3601536003,"Allegany County, New York","Chemung County, New York",4,+/-30
C4300US3601536007,"Broome County, New York","Chemung County, New York",140,+/-59
C4300US3601536013,"Chautauqua County, New York","Chemung County, New York",4,+/-3
C4300US3601536015,"Chemung County, New York","Chemung County, New York","28,245",+/-919
C4300US3601536017,"Chenango County, New York","Chemung County, New York",4,+/-12
C4300US3601536019,"Clinton County, New York","Chemung County, New York",4,+/-10
C4300US3601536023,"Cortland County, New York","Chemung County, New York",30,+/-25
C4300US3601536029,"Erie County, New York","Chemung County, New York",30,+/-28
C4300US3601536045,"Jefferson County, New York","Chemung County, New York",35,+/-36
C4300US3601536047,"Kings County, New York","Chemung County, New York",25,+/-34
C4300US3601536051,"Livingston County, New York","Chemung County, New York",10,+/-14
C4300US3601536061,"New York County, New York","Chemung County, New York",15,+/-21
C4300US3601536065,"Oneida County, New York","Chemung County, New York",15,+/-23
C4300US3601536067,"Onondaga County, New York","Chemung County, New York",20,+/-28
C4300US3601536069,"Ontario County, New York","Chemung County, New York",35,+/-32
C4300US3601536089,"St. Lawrence County, New York","Chemung County, New York",4,+/-2
C4300US3601536091,"Saratoga County, New York","Chemung County, New York",4,+/-2
C4300US3601536097,"Schuyler County, New York","Chemung County, New York",590,+/-165
C4300US3601536099,"Seneca County, New York","Chemung County, New York",35,+/-28
C4300US3601536101,"Steuben County, New York","Chemung County, New York","3,680",+/-385
C4300US3601536103,"Suffolk County, New York","Chemung County, New York",4,+/-30
C4300US3601536107,"Tioga County, New York","Chemung County, New York",740,+/-180
C4300US3601536109,"Tompkins County, New York","Chemung County, New York","1,190",+/-207
C4300US3601536115,"Washington County, New York","Chemung County, New York",10,+/-14
C4300US3601536121,"Wyoming County, New York","Chemung County, New York",10,+/-15
C4300US3601536123,"Yates County, New York","Chemung County, New York",15,+/-22
C4300US3601734013,"Essex County, New Jersey","Chenango County, New York",20,+/-25
C4300US3601734027,"Morris County, New Jersey","Chenango County, New York",20,+/-32
C4300US3601736001,"Albany County, New York","Chenango County, New York",50,+/-34
C4300US3601736003,"Allegany County, New York","Chenango County, New York",10,+/-13
C4300US3601736007,"Broome County, New York","Chenango County, New York","2,005",+/-240
C4300US3601736017,"Chenango County, New York","Chenango County, New York","14,200",+/-633
C4300US3601736023,"Cortland County, New York","Chenango County, New York",475,+/-112
C4300US3601736025,"Delaware County, New York","Chenango County, New York","1,435",+/-282
C4300US3601736027,"Dutchess County, New York","Chenango County, New York",4,+/-12
C4300US3601736029,"Erie County, New York","Chenango County, New York",20,+/-19
C4300US3601736033,"Franklin County, New York","Chenango County, New York",4,+/-27
C4300US3601736037,"Genesee County, New York","Chenango County, New York",4,+/-27
C4300US3601736043,"Herkimer County, New York","Chenango County, New York",40,+/-40
C4300US3601736047,"Kings County, New York","Chenango County, New York",25,+/-35
C4300US3601736051,"Livingston County, New York","Chenango County, New York",4,+/-27
C4300US3601736053,"Madison County, New York","Chenango County, New York",770,+/-179
C4300US3601736055,"Monroe County, New York","Chenango County, New York",15,+/-26
C4300US3601736059,"Nassau County, New York","Chenango County, New York",45,+/-40
C4300US3601736061,"New York County, New York","Chenango County, New York",4,+/-10
C4300US3601736065,"Oneida County, New York","Chenango County, New York",275,+/-96
C4300US3601736067,"Onondaga County, New York","Chenango County, New York",290,+/-86
C4300US3601736069,"Ontario County, New York","Chenango County, New York",4,+/-6
C4300US3601736071,"Orange County, New York","Chenango County, New York",25,+/-32
C4300US3601736075,"Oswego County, New York","Chenango County, New York",45,+/-35
C4300US3601736077,"Otsego County, New York","Chenango County, New York",905,+/-160
C4300US3601736087,"Rockland County, New York","Chenango County, New York",4,+/-10
C4300US3601736093,"Schenectady County, New York","Chenango County, New York",10,+/-24
C4300US3601736095,"Schoharie County, New York","Chenango County, New York",10,+/-14
C4300US3601736107,"Tioga County, New York","Chenango County, New York",15,+/-12
C4300US3601736109,"Tompkins County, New York","Chenango County, New York",85,+/-39
C4300US3601736111,"Ulster County, New York","Chenango County, New York",4,+/-10
C4300US3601736115,"Washington County, New York","Chenango County, New York",15,+/-16
C4300US3601736119,"Westchester County, New York","Chenango County, New York",4,+/-27
C4300US3601936001,"Albany County, New York","Clinton County, New York",40,+/-45
C4300US3601936019,"Clinton County, New York","Clinton County, New York","32,260",+/-897
C4300US3601936021,"Columbia County, New York","Clinton County, New York",4,+/-4
C4300US3601936025,"Delaware County, New York","Clinton County, New York",45,+/-67
C4300US3601936031,"Essex County, New York","Clinton County, New York",880,+/-247
C4300US3601936033,"Franklin County, New York","Clinton County, New York",515,+/-132
C4300US3601936041,"Hamilton County, New York","Clinton County, New York",10,+/-17
C4300US3601936047,"Kings County, New York","Clinton County, New York",4,+/-6
C4300US3601936055,"Monroe County, New York","Clinton County, New York",45,+/-45
C4300US3601936061,"New York County, New York","Clinton County, New York",70,+/-90
C4300US3601936071,"Orange County, New York","Clinton County, New York",35,+/-47
C4300US3601936077,"Otsego County, New York","Clinton County, New York",10,+/-14
C4300US3601936089,"St. Lawrence County, New York","Clinton County, New York",25,+/-25
C4300US3601936091,"Saratoga County, New York","Clinton County, New York",10,+/-14
C4300US3601936113,"Warren County, New York","Clinton County, New York",10,+/-15
C4300US3601936115,"Washington County, New York","Clinton County, New York",4,+/-5
C4300US3602134017,"Hudson County, New Jersey","Columbia County, New York",15,+/-19
C4300US3602134021,"Mercer County, New Jersey","Columbia County, New York",10,+/-13
C4300US3602134023,"Middlesex County, New Jersey","Columbia County, New York",4,+/-17
C4300US3602136001,"Albany County, New York","Columbia County, New York","2,485",+/-326
C4300US3602136005,"Bronx County, New York","Columbia County, New York",20,+/-20
C4300US3602136007,"Broome County, New York","Columbia County, New York",20,+/-32
C4300US3602136021,"Columbia County, New York","Columbia County, New York","18,350",+/-726
C4300US3602136027,"Dutchess County, New York","Columbia County, New York","1,900",+/-270
C4300US3602136029,"Erie County, New York","Columbia County, New York",4,+/-12
C4300US3602136039,"Greene County, New York","Columbia County, New York",790,+/-151
C4300US3602136041,"Hamilton County, New York","Columbia County, New York",4,+/-8
C4300US3602136043,"Herkimer County, New York","Columbia County, New York",15,+/-24
C4300US3602136047,"Kings County, New York","Columbia County, New York",40,+/-27
C4300US3602136057,"Montgomery County, New York","Columbia County, New York",25,+/-21
C4300US3602136059,"Nassau County, New York","Columbia County, New York",140,+/-92
C4300US3602136061,"New York County, New York","Columbia County, New York",885,+/-180
C4300US3602136071,"Orange County, New York","Columbia County, New York",45,+/-42
C4300US3602136075,"Oswego County, New York","Columbia County, New York",15,+/-24
C4300US3602136081,"Queens County, New York","Columbia County, New York",25,+/-18
C4300US3602136083,"Rensselaer County, New York","Columbia County, New York","1,400",+/-245
C4300US3602136087,"Rockland County, New York","Columbia County, New York",4,+/-1
C4300US3602136089,"St. Lawrence County, New York","Columbia County, New York",15,+/-21
C4300US3602136091,"Saratoga County, New York","Columbia County, New York",230,+/-88
C4300US3602136093,"Schenectady County, New York","Columbia County, New York",145,+/-70
C4300US3602136103,"Suffolk County, New York","Columbia County, New York",25,+/-37
C4300US3602136105,"Sullivan County, New York","Columbia County, New York",70,+/-93
C4300US3602136109,"Tompkins County, New York","Columbia County, New York",20,+/-25
C4300US3602136111,"Ulster County, New York","Columbia County, New York",405,+/-98
C4300US3602136115,"Washington County, New York","Columbia County, New York",15,+/-27
C4300US3602136119,"Westchester County, New York","Columbia County, New York",50,+/-33
C4300US3602334003,"Bergen County, New Jersey","Cortland County, New York",4,+/-27
C4300US3602334035,"Somerset County, New Jersey","Cortland County, New York",4,+/-10
C4300US3602336005,"Bronx County, New York","Cortland County, New York",4,+/-13
C4300US3602336007,"Broome County, New York","Cortland County, New York",505,+/-113
C4300US3602336011,"Cayuga County, New York","Cortland County, New York",165,+/-71
C4300US3602336015,"Chemung County, New York","Cortland County, New York",30,+/-28
C4300US3602336017,"Chenango County, New York","Cortland County, New York",155,+/-49
C4300US3602336019,"Clinton County, New York","Cortland County, New York",4,+/-27
C4300US3602336023,"Cortland County, New York","Cortland County, New York","15,610",+/-664
C4300US3602336025,"Delaware County, New York","Cortland County, New York",4,+/-10
C4300US3602336027,"Dutchess County, New York","Cortland County, New York",10,+/-13
C4300US3602336049,"Lewis County, New York","Cortland County, New York",20,+/-23
C4300US3602336053,"Madison County, New York","Cortland County, New York",105,+/-42
C4300US3602336055,"Monroe County, New York","Cortland County, New York",10,+/-13
C4300US3602336059,"Nassau County, New York","Cortland County, New York",4,+/-2
C4300US3602336063,"Niagara County, New York","Cortland County, New York",20,+/-32
C4300US3602336065,"Oneida County, New York","Cortland County, New York",10,+/-9
C4300US3602336067,"Onondaga County, New York","Cortland County, New York","2,140",+/-315
C4300US3602336069,"Ontario County, New York","Cortland County, New York",4,+/-2
C4300US3602336075,"Oswego County, New York","Cortland County, New York",30,+/-27
C4300US3602336077,"Otsego County, New York","Cortland County, New York",35,+/-26
C4300US3602336081,"Queens County, New York","Cortland County, New York",4,+/-9
C4300US3602336083,"Rensselaer County, New York","Cortland County, New York",4,+/-10
C4300US3602336089,"St. Lawrence County, New York","Cortland County, New York",4,+/-1
C4300US3602336107,"Tioga County, New York","Cortland County, New York",25,+/-21
C4300US3602336109,"Tompkins County, New York","Cortland County, New York","3,485",+/-404
C4300US3602336111,"Ulster County, New York","Cortland County, New York",4,+/-20
C4300US3602336115,"Washington County, New York","Cortland County, New York",20,+/-33
C4300US3602336119,"Westchester County, New York","Cortland County, New York",4,+/-11
C4300US3602534003,"Bergen County, New Jersey","Delaware County, New York",10,+/-15
C4300US3602534013,"Essex County, New Jersey","Delaware County, New York",30,+/-25
C4300US3602534017,"Hudson County, New Jersey","Delaware County, New York",35,+/-29
C4300US3602534023,"Middlesex County, New Jersey","Delaware County, New York",4,+/-7
C4300US3602534027,"Morris County, New Jersey","Delaware County, New York",35,+/-32
C4300US3602534029,"Ocean County, New Jersey","Delaware County, New York",4,+/-27
C4300US3602534039,"Union County, New Jersey","Delaware County, New York",15,+/-26
C4300US3602536001,"Albany County, New York","Delaware County, New York",45,+/-30
C4300US3602536005,"Bronx County, New York","Delaware County, New York",4,+/-11
C4300US3602536007,"Broome County, New York","Delaware County, New York",425,+/-129
C4300US3602536017,"Chenango County, New York","Delaware County, New York",335,+/-117
C4300US3602536023,"Cortland County, New York","Delaware County, New York",15,+/-23
C4300US3602536025,"Delaware County, New York","Delaware County, New York","14,045",+/-605
C4300US3602536027,"Dutchess County, New York","Delaware County, New York",4,+/-11
C4300US3602536033,"Franklin County, New York","Delaware County, New York",30,+/-49
C4300US3602536035,"Fulton County, New York","Delaware County, New York",20,+/-19
C4300US3602536039,"Greene County, New York","Delaware County, New York",70,+/-45
C4300US3602536047,"Kings County, New York","Delaware County, New York",120,+/-75
C4300US3602536053,"Madison County, New York","Delaware County, New York",15,+/-17
C4300US3602536057,"Montgomery County, New York","Delaware County, New York",4,+/-1
